date,Readiness Score,Total Sleep Duration,Equivalent Walking Distance,Average HRV,Rest Time,Lowest Resting Heart Rate,Deep Sleep Duration,Temperature Deviation (°C),REM Sleep Duration,Average MET,High Activity Time,Steps,Average Resting Heart Rate,Sleep Score,Sleep Latency
2025-02-06,83,27510,24747,77,27360,51,4410,-0.06,5940,2.125,2040,15387,57.38,77,330
2025-02-07,67,21450,16197,60,23280,56,5040,-0.27,3870,1.84375,2700,15251,61.96,69,780
2025-02-08,70,25110,15053,63,26940,56,5820,-0.15,4110,1.75,960,15491,61.77,77,690
2025-02-09,56,14010,23485,42,29880,56,3270,-0.26,1920,1.96875,120,21012,69.62,52,690
2025-02-10,82,32910,7470,73,23280,54,6660,-0.34,6570,1.40625,2400,255,60.18,93,180
2025-02-13,69,24000,20640,70,23940,55,6630,0.08,3750,1.9375,120,15642,60.35,72,360
2025-02-14,67,22170,15870,67,24540,56,5490,-0.05,3420,1.8125,1920,16716,63.65,66,330
2025-02-15,69,25200,16199,63,30300,56,5310,-0.21,4200,1.75,240,14647,62.94,72,750
2025-02-16,73,26580,7907,70,28680,59,5130,-0.13,4500,1.5,120,9585,63.02,77,600
2025-02-17,47,11610,37458,44,27000,64,4170,0.02,1350,2.40625,3660,22682,68.97,52,240
2025-02-18,71,26550,19240,51,24420,57,7440,-0.11,6390,1.9375,1620,15693,65.06,86,690
2025-02-19,62,20970,13550,56,26760,59,4710,-0.09,3150,1.71875,0,11461,65.99,70,960
2025-02-20,75,28020,19594,75,31020,55,4710,0.07,6060,1.9375,2040,12032,65.12,82,990
2025-02-05,,,18491,,48420,,,,,1.71875,60,14814,,,
2025-02-12,,,20210,,13260,,,,,1.875,900,10600,,,
2025-02-21,,,607,,9840,,,,,1.1875,0,633,,,
